S.no,process_cpu_percent,process_rss_percent,proces_vms_percent,process_data_percent,cpu_times_user
1,61.9,9.193432331,22.45113388,9.979797261,317.49
2,81.9,8.083270076,21.35698358,8.885646962,319.07
3,15,9.352563494,23.21753329,10.74619667,319.91
4,36.9,11.74901951,25.01502356,12.54368694,319.92
5,61.9,14.42005092,27.70088086,15.22954423,320.94
6,7,14.38031755,27.70088086,15.22954423,320.95
7,87.9,7.814229687,21.42004301,8.948706392,322.12
8,4,8.413393111,21.97591486,9.504578233,322.15
9,92.9,12.54250087,26.09928994,13.62795332,323.54
10,8,12.54250087,26.09928994,13.62795332,323.56
11,89.9,8.141782902,21.78298067,9.311644052,325.08
12,29,8.92715944,22.47782048,10.00648385,325.3
13,69.9,12.58836227,26.13961635,13.66827972,326.83
14,62.9,12.58836227,26.13961635,13.66827972,327.38
15,35,12.58836227,26.13961635,13.66827972,328.76
16,98.9,8.885251605,22.4408546,9.969517981,329.46
17,98.9,11.55568998,25.11168833,12.64035171,331.52
18,95.9,13.55698675,27.11753171,14.64619508,333.58
19,87.9,13.56864978,27.11753171,14.64619508,335.36
20,8,13.48641554,27.11753171,14.64619508,335.66
21,97.9,13.48641554,27.13018313,14.65884651,337.64
22,13,13.48641554,27.13018313,14.65884651,337.92
23,84.9,8.152852896,22.12041781,9.64908119,339.71
24,98.9,9.579103014,23.23235917,10.76102255,340.68
25,99.9,12.66624759,26.31930607,13.84796945,343.59
26,73.9,12.66624759,26.31930607,13.84796945,343.6
27,24,12.66624759,26.31930607,13.84796945,345.81
28,96.9,9.796944682,23.45158459,10.98024797,346.68
29,39,9.796944682,23.45158459,10.98024797,346.7
30,58.9,11.62645887,25.27734289,12.80600626,349.9
31,96.9,11.62645887,25.27734289,12.80600626,349.98
32,13,11.62645887,25.27734289,12.80600626,350
33,84.9,8.230342854,22.3463643,9.875027675,353.39
34,95.9,10.08871809,23.73624158,11.26490496,353.4
35,14,10.08871809,23.73624158,11.26490496,353.41
36,81.9,8.919252301,22.55946168,10.08812506,357.01
37,97.9,10.36270045,24.01892178,11.54758516,357.02
38,31.9,10.36270045,24.01892178,11.54758516,357.04
39,63.9,12.58757156,26.30210804,13.83077142,360.74
40,97.9,12.58757156,26.30210804,13.83077142,360.75
41,65.9,12.58757156,26.30210804,13.83077142,360.76
42,23,12.58757156,26.30210804,13.83077142,364.69
43,98.9,7.28741658,21.00511592,8.533779296,364.7
44,98.9,7.587492488,21.30183129,8.830494671,364.71
45,99.9,11.51318911,25.33269286,12.86135623,368.75
46,98.9,11.59146978,25.33269286,12.86135623,368.78
47,98.9,14.25736155,27.96814214,15.49680552,373.02
48,98.9,14.25736155,27.96814214,15.49680552,373.03
49,61.9,14.21387228,27.96814214,15.49680552,373.05
50,86.9,9.162396812,23.48617832,11.0148417,377.4
51,97.8,7.96308157,21.67939716,9.208060537,377.42
52,89.9,7.96308157,21.67939716,9.208060537,377.43
53,8,9.186711263,23.60241326,11.13107664,381.98
54,99.9,12.65853813,26.38355157,13.91221495,381.99
55,99.9,12.65853813,26.38355157,13.91221495,382
56,5,12.65853813,26.38355157,13.91221495,382.42
57,92.9,8.63499067,23.05464623,10.58330961,386.82
58,97.9,7.754728469,21.47124174,8.999905114,386.83
59,99.9,7.754728469,21.47124174,8.999905114,386.84
60,99.9,9.511694658,23.66547269,11.19413607,391.8
61,97.9,11.95598887,25.68080463,13.20946801,391.8
62,85.9,11.95598887,25.68080463,13.20946801,392.52
63,11,11.95598887,25.68080463,13.20946801,396.87
64,98.9,13.55659139,27.2727093,14.80137268,396.88
65,98.9,13.55659139,27.2727093,14.80137268,396.89
66,49.9,13.55659139,27.2727093,14.80137268,398.58
67,48,8.745888288,23.48380618,11.01246956,402.14
68,100.9,9.695733308,23.48380618,11.01246956,402.14
69,99.9,8.699631527,22.40645855,9.935121928,402.6
70,31,8.699631527,22.40645855,9.935121928,404.6
71,66.9,12.68344561,26.40233102,13.9309944,407.55
72,100,12.68344561,26.40233102,13.9309944,407.56
73,98.9,12.68344561,26.40233102,13.9309944,408.67
74,33.9,12.68344561,26.40233102,13.9309944,410.66
75,35,12.68344561,26.40233102,13.9309944,417.57
76,98.9,9.415820603,23.40769997,10.93636335,417.58
77,98.9,8.085246861,21.7286191,9.257282475,417.6
78,94.9,8.085246861,21.7286191,9.257282475,417.6
79,99.9,12.79019199,26.52805453,14.0567179,423.24
80,97,10.48407502,24.11301673,11.64168011,423.25
81,99.9,10.48407502,24.11301673,11.64168011,423.35
82,98.9,9.379645444,23.65084448,11.17950786,429.16
83,97.9,8.805784863,22.43472657,9.963389948,429.17
84,98.9,8.805784863,22.43472657,9.963389948,429.36
85,1,8.805784863,22.43472657,9.963389948,431.33
86,91.9,13.2076889,26.84947971,14.37814309,435.13
87,98.9,13.2076889,26.84947971,14.37814309,435.14
88,98.9,13.2076889,26.84947971,14.37814309,435.31
89,69.9,13.2031423,26.84947971,14.37814309,437.31
90,99.9,9.690593668,23.92581523,11.4544786,441.33
91,97.9,8.195353765,21.8341794,9.362842774,441.35
92,99.9,8.195353765,21.8341794,9.362842774,443.33
93,7,8.195353765,21.8341794,9.362842774,445.32
94,89.9,12.88626372,26.52963596,14.05829933,447.63
95,99.9,12.88626372,26.52963596,14.05829933,447.64
96,98.9,9.809398425,23.44268906,10.97135244,449.37
97,98.9,9.809398425,23.44268906,10.97135244,451.35
98,99.9,13.09501218,26.74391941,14.27258279,454.15
99,97.9,14.08933485,27.75603315,15.28469652,455.37
100,93.9,14.04920612,27.75603315,15.28469652,457.38
101,57.9,14.04920612,27.75603315,15.28469652,459.38
102,27,14.04920612,27.75603315,15.28469652,460.76
103,99.9,9.91812158,24.11281905,11.64148243,461.4
104,96.9,8.243389632,21.94053041,9.469193788,463.39
105,99.9,8.243389632,21.94053041,9.469193788,465.38
106,23,8.243389632,21.94053041,9.469193788,467.37
107,72,12.84633267,26.54307809,14.07174147,467.6
108,99.9,12.84633267,26.54307809,14.07174147,469.38
109,97.9,10.43762058,24.12823797,11.65690135,471.38
110,99.9,10.43762058,24.12823797,11.65690135,473.38
111,99,9.530078755,24.35635892,11.8850223,475.4
112,98.9,10.47340039,24.35635892,11.8850223,477.4
113,97,8.275611222,21.98263592,9.511299301,479.39
114,99.9,8.275611222,21.98263592,9.511299301,481.4
115,97.9,12.89496157,26.60099788,14.12966126,483.4
116,99.9,12.89496157,26.60099788,14.12966126,485.4
117,97.9,9.975250656,23.66586805,11.19453142,487.4
118,98.9,9.975250656,23.66586805,11.19453142,489.03
119,98.9,9.638208875,24.48445457,12.01311794,491.41
120,99.9,10.59477496,24.48445457,12.01311794,493.4
121,98.9,8.445219344,22.14690673,9.675570105,495.4
122,99.9,8.445219344,22.14690673,9.675570105,496.52
123,99.9,13.12940823,26.83643293,14.36509631,499.79
124,98.9,13.12940823,26.83643293,14.36509631,501.79
125,97.9,10.44829522,24.15433153,11.68299491,503.78
126,98.9,10.44829522,24.15433153,11.68299491,504.62
127,34.9,10.44829522,24.15433153,11.68299491,504.63
128,53.9,9.768281304,25.00256982,12.5312332,507.82
129,99.9,10.69163741,25.00256982,12.5312332,509.81
130,98.9,8.321274947,22.03877661,9.567439985,511.8
131,99.9,8.321274947,22.03877661,9.567439985,512.56
132,95.9,8.321274947,22.03877661,9.567439985,512.58
133,100,13.53623051,28.23619414,15.76485751,517.85
134,98.9,14.48627321,28.23619414,15.76485751,519.86
135,96.9,12.88507765,26.60297467,14.13163804,520.68
136,97.9,12.88507765,26.60297467,14.13163804,520.7
137,17,12.88507765,26.60297467,14.13163804,520.71
138,68.9,9.719257045,24.9027422,12.43140557,525.88
139,98.9,10.66257868,24.9027422,12.43140557,527.88
140,98.9,8.52172091,22.19059367,9.719257045,528.93
141,99.9,8.52172091,22.19059367,9.719257045,528.94
142,99.9,8.52172091,22.19059367,9.719257045,528.95
143,98.9,13.86793497,28.57738717,16.10605054,535.88
144,99.9,14.81777999,28.57738717,16.10605054,537.24
145,97.9,13.22093336,26.87458488,14.40324825,537.25
146,99.9,13.22093336,26.87458488,14.40324825,537.25
147,28.9,13.22093336,26.87458488,14.40324825,537.26
148,61,9.642557801,24.92389379,12.45255717,543.88
149,98.9,10.58587943,24.92389379,12.45255717,545.74
150,98.9,7.801380586,21.44870639,8.977369769,545.75
151,99.9,8.54484929,22.21055919,9.73922257,545.76
152,99.9,8.54484929,22.21055919,9.73922257,545.77
153,99.9,11.62290065,26.57371825,14.10238163,553.88
154,98.9,12.57274567,26.57371825,14.10238163,554.73
155,96.9,9.382017585,23.02934339,10.55800677,554.74
156,99,9.382017585,23.02934339,10.55800677,554.74
157,93.9,9.382017585,23.02934339,10.55800677,554.75
158,1,9.382017585,23.02934339,10.55800677,561.86
159,98.9,13.8052709,27.46406206,14.99272543,563.56
160,99.9,13.8052709,27.46406206,14.99272543,563.58
161,93.9,13.812585,27.46406206,14.99272543,563.59
162,98.9,13.81218964,27.46406206,14.99272543,563.6
163,91.9,13.81218964,27.46406206,14.99272543,563.62
164,98.9,15.41635038,29.0672344,16.59589778,572.58
165,99.9,15.41635038,29.0672344,16.59589778,572.59
166,97.9,15.41635038,29.0672344,16.59589778,572.6
167,99.9,15.41635038,29.0672344,16.59589778,572.6
168,89.9,15.41635038,29.0672344,16.59589778,572.61
169,3,15.41635038,29.0672344,16.59589778,581.9
170,98.9,15.41635038,29.0672344,16.59589778,581.98
171,100.9,15.41635038,29.0672344,16.59589778,581.98
172,95.9,15.36515166,29.0672344,16.59589778,581.99
173,99.9,15.36515166,29.0672344,16.59589778,582
174,98.9,15.36515166,29.0672344,16.59589778,582.03
175,99.9,11.38627953,26.43257583,13.96123921,591.38
176,98.9,12.34264794,26.43257583,13.96123921,591.39
177,96.9,8.913717304,22.61026505,10.13892842,591.4
178,95.9,8.913717304,22.61026505,10.13892842,591.42
179,99.9,8.913717304,22.61026505,10.13892842,592.05
180,93.9,13.04539488,26.7577569,14.28642028,600.89
181,99.9,13.04539488,26.7577569,14.28642028,600.9
182,97.9,13.03195275,26.7577569,14.28642028,600.91
183,99,13.03195275,26.7577569,14.28642028,600.92
184,99.9,13.03195275,26.7577569,14.28642028,602.01
185,14,13.03195275,26.7577569,14.28642028,604.01
186,81.9,10.76280166,26.24992093,13.77858431,610.61
187,99.9,11.70612329,26.24992093,13.77858431,610.62
188,97.9,8.57311731,22.28844451,9.817107885,610.63
189,98.9,8.755574533,22.48098333,10.00964671,610.64
190,42,8.755574533,22.48098333,10.00964671,612.02
191,46.8,8.755574533,22.48098333,10.00964671,614
192,46.7,8.755574533,22.48098333,10.00964671,615.96
193,17.9,8.755574533,22.48098333,10.00964671,617.96
194,37.9,12.21494765,27.00683177,14.53549515,620.61
195,81.9,13.25335263,27.00683177,14.53549515,620.62
196,93.9,13.25256191,27.00683177,14.53549515,621.94
197,68.9,13.25137584,27.00683177,14.53549515,623.94
198,71.9,13.52278837,27.00683177,14.53549515,625.94
199,89.9,13.52278837,27.00683177,14.53549515,627.94
200,68.9,13.51745105,27.00683177,14.53549515,629.94
201,64.9,13.4545893,27.00683177,14.53549515,630.66
202,9,13.1663741,27.00683177,14.53549515,635.94
203,16,7.9205807,21.63096594,9.159629313,637.94
204,87.9,10.81320967,25.731608,13.26027137,639.93
205,81,11.56241104,25.731608,13.26027137,641.93
206,57.9,13.39014612,27.78192903,15.3105924,643.88
207,72.9,8.976776734,22.53257741,10.06124079,644.72
208,47,9.229409811,22.67371983,10.20238321,645.05
209,88.9,9.229409811,22.67371983,10.20238321,645.08
210,96.9,9.229409811,22.67371983,10.20238321,645.1
211,93.9,13.25434102,26.68955783,14.21822121,655.27
212,98.9,13.25434102,26.68955783,14.21822121,655.56
213,88.9,13.01376633,26.68955783,14.21822121,655.57
214,97.9,13.15233893,26.68955783,14.21822121,655.58
215,98.9,13.15233893,26.68955783,14.21822121,655.59
216,91.9,13.15233893,26.68955783,14.21822121,655.6
217,99.9,11.12356485,25.99906696,13.52773033,666.16
218,97.9,12.04711864,25.99906696,13.52773033,666.18
219,75.8,8.045118133,21.75965462,9.288317993,666.19
220,85.9,9.245224088,22.69506911,10.22373249,666.2
221,98.9,9.245224088,22.69506911,10.22373249,666.21
222,98.9,9.245224088,22.69506911,10.22373249,667.32
223,85.9,14.54498371,28.26940412,15.7980675,677.08
224,98.9,14.54498371,28.26940412,15.7980675,677.08
225,98.9,14.54498371,28.26940412,15.7980675,677.09
226,69.5,14.65014865,28.26940412,15.7980675,677.1
227,97.9,14.72645254,28.26940412,15.7980675,677.37
228,98.9,14.72645254,28.26940412,15.7980675,679.36
229,62.9,14.72645254,28.26940412,15.7980675,681.35
230,23,14.79939589,28.26940412,15.7980675,687.99
231,98.9,12.67474776,27.43757314,14.96623652,688
232,98.9,13.58505709,27.43757314,14.96623652,688.01
233,89.9,9.349598317,23.05899516,10.58765854,688.01
234,98.9,9.563684094,23.05899516,10.58765854,689.33
235,98.9,9.563684094,23.05899516,10.58765854,691.33
236,92.9,9.563684094,23.05899516,10.58765854,693.28
237,98.9,12.71724863,27.66826391,15.19692729,699
238,98.9,13.66057026,27.66826391,15.19692729,699.02
239,90.9,9.64908119,23.22010311,10.74876649,699.29
240,96.9,9.767095234,23.22010311,10.74876649,701.28
241,98.9,9.767095234,23.22010311,10.74876649,703.27
242,99.9,9.767095234,23.22010311,10.74876649,705.23
243,90.9,14.08814878,27.65482177,15.18348515,710.19
244,98.9,14.08814878,27.65482177,15.18348515,710.2
245,96.9,14.05414808,27.65482177,15.18348515,711.22
246,90.9,14.17927855,27.65482177,15.18348515,713.22
247,98.8,14.17927855,27.65482177,15.18348515,715.21
248,98.9,14.17927855,27.65482177,15.18348515,717.17
249,66.9,14.17927855,27.65482177,15.18348515,719.16
250,22,14.17216213,27.65482177,15.18348515,721.67
251,98.9,11.47681627,26.40430781,13.93297119,721.68
252,98.9,12.41361451,26.40430781,13.93297119,723.16
253,91.9,8.074769902,21.81737673,9.346040105,725.16
254,98.9,9.279224784,22.83344403,10.36210741,727.13
255,98.9,9.279224784,22.83344403,10.36210741,729.13
256,99.9,9.279224784,22.83344403,10.36210741,731.14
257,98.9,13.74616504,29.05319923,16.58186261,733.23
258,98.9,14.68948667,29.05319923,16.58186261,735.15
259,97.9,15.58002815,29.05319923,16.58186261,737.14
260,88.7,13.21104944,26.72494228,14.25360566,739.1
261,98.9,13.29130689,26.72494228,14.25360566,741.1
262,97.9,13.29130689,26.72494228,14.25360566,743.1
263,77.9,13.29130689,26.72494228,14.25360566,744.94
264,10,13.28241136,26.72494228,14.25360566,745.14
265,97.9,11.7252981,26.68916248,14.21782585,747.11
266,97.9,12.63560743,26.68916248,14.21782585,749.11
267,94.8,14.27396654,29.05221084,16.58087421,751.07
268,91.9,9.417006674,22.84609545,10.37475883,753.07
269,98.9,9.417006674,22.84609545,10.37475883,755.06
270,98.9,9.417006674,22.84609545,10.37475883,756.87
271,28,9.417006674,22.84609545,10.37475883,756.88
272,56.9,13.71888541,29.40328779,16.93195117,759.1
273,99,14.64797419,29.40328779,16.93195117,761.09
274,98.9,15.54167853,29.40328779,16.93195117,763.06
275,74.9,13.32787741,27.0056457,14.53430907,765.06
276,95.9,13.56528924,27.0056457,14.53430907,767.06
277,98.9,13.56528924,27.0056457,14.53430907,768.9
278,98.9,13.56528924,27.0056457,14.53430907,768.9
279,89.9,11.18306607,26.70873264,14.23739602,773.04
280,96.9,12.07360755,26.70873264,14.23739602,775.01
281,98,13.00052187,26.70873264,14.23739602,777.01
282,91.9,8.383543663,21.84386564,9.372529019,779.02
283,97.9,9.74436221,23.151311,10.67997438,781.01
284,99.9,9.74436221,23.151311,10.67997438,781.14
285,99.9,9.74436221,23.151311,10.67997438,781.14
286,94.9,13.85567891,29.31887908,16.84754246,787.06
287,96.8,14.6542999,29.31887908,16.84754246,789.06
288,97.9,15.58358636,29.31887908,16.84754246,791.06
289,55.6,13.20828194,26.85165417,14.38031755,793.07
290,91.9,13.38421577,26.85165417,14.38031755,793.53
291,98.9,13.38421577,26.85165417,14.38031755,793.54
292,97.9,13.38421577,26.85165417,14.38031755,793.55
293,24,13.38421577,26.85165417,14.38031755,793.56
294,55.9,13.55263782,29.35367049,16.88233387,801.01
295,98.9,14.49595945,29.35367049,16.88233387,803.01
296,97.9,15.43275769,29.35367049,16.88233387,805.01
297,90.9,20.05171269,34.35770313,21.88636651,806.19
298,89.9,13.37195971,26.85165417,14.38031755,806.2
299,97.9,13.37195971,26.85165417,14.38031755,806.21
300,98.9,13.37195971,26.85165417,14.38031755,806.22
301,78.9,13.37195971,26.85165417,14.38031755,806.24
302,5,13.4344261,26.85165417,14.38031755,815
303,50.9,13.78273555,29.40052029,16.92918367,817
304,95.9,14.55486763,29.40052029,16.92918367,818.88
305,97.9,15.45865357,29.40052029,16.92918367,818.89
306,74.9,13.19424677,26.86371256,14.39237594,818.9
307,90.9,13.44114717,26.86371256,14.39237594,818.91
308,98.9,13.43640288,26.86371256,14.39237594,818.92
309,99.9,13.43640288,26.86371256,14.39237594,819.01
310,56.9,13.43640288,26.86371256,14.39237594,820.98
311,25,13.43561217,26.86371256,14.39237594,830.85
312,97.9,14.68078882,28.0584812,15.58714457,831.94
313,98.9,14.68078882,28.0584812,15.58714457,831.95
314,98.9,17.97292596,33.20128412,20.7299475,831.96
315,92.9,14.6487649,28.0584812,15.58714457,831.96
316,98.9,14.6487649,28.0584812,15.58714457,831.97
317,99,14.6487649,28.0584812,15.58714457,832.84
318,87,14.6487649,28.0584812,15.58714457,834.82
319,2,14.6487649,28.0584812,15.58714457,844.76
320,98,15.14869374,30.66467407,18.19333745,845.04
321,99,16.06572414,30.66467407,18.19333745,845.06
322,98.9,16.8710662,30.66467407,18.19333745,845.08
323,44.7,21.86007528,33.27086694,20.79953032,845.09
324,13.8,14.36628238,28.0584812,15.58714457,845.1
325,99.9,14.61792706,28.0584812,15.58714457,846.75
326,98.9,14.61792706,28.0584812,15.58714457,848.74
327,99.9,14.61792706,28.0584812,15.58714457,850.72
328,40.9,14.61792706,28.0584812,15.58714457,852.7
329,38,11.19729892,27.19423095,14.72289433,858.33
330,99.9,12.12955056,27.19423095,14.72289433,858.33
331,99.9,13.08611665,27.19423095,14.72289433,858.34
332,96.9,18.43035392,32.47619951,20.00486289,858.69
333,89.9,9.611917639,23.05365784,10.58232122,860.66
334,98.9,9.611917639,23.05365784,10.58232122,862.62
335,98.9,9.611917639,23.05365784,10.58232122,864.56
336,96.9,9.611917639,23.05365784,10.58232122,866.56
337,98.9,13.16301357,28.6908546,16.21951798,871.72
338,97.9,14.05236898,28.6908546,16.21951798,871.72
339,98.9,14.95615492,28.6908546,16.21951798,872.58
340,79.7,9.696326343,23.33930322,10.8679666,874.56
341,97.9,9.860992504,23.33930322,10.8679666,876.56
342,98.9,9.860992504,23.33930322,10.8679666,878.55
343,99.9,9.860992504,23.33930322,10.8679666,880.54
344,50.9,9.860992504,23.33930322,10.8679666,882.54
345,32,10.74046399,24.65505108,12.18371446,885.32
346,98.9,14.72823165,28.12845937,15.65712275,885.32
347,98.9,14.72823165,28.12845937,15.65712275,886.57
348,98.9,14.72823165,28.12845937,15.65712275,888.58
349,80.4,14.52561122,28.12845937,15.65712275,890.56
350,99.9,14.69403327,28.12845937,15.65712275,892.52
351,98.9,14.69403327,28.12845937,15.65712275,894.52
352,98.9,14.69403327,28.12845937,15.65712275,896.52
353,5,14.68988203,28.12845937,15.65712275,898.52
354,82,14.96860866,30.8736202,18.40228358,899.04
355,97.9,15.84096372,30.8736202,18.40228358,900.54
356,97.9,16.77776196,30.8736202,18.40228358,902.52
357,79,19.72040358,33.61878104,21.14744441,904.52
358,3.7,14.26724547,28.12845937,15.65712275,906.48
359,57,14.45662144,28.12845937,15.65712275,908.49
360,94.9,14.58807762,28.12845937,15.65712275,910.48
361,99.9,14.55348389,28.12845937,15.65712275,912.49
362,98.9,14.55348389,28.12845937,15.65712275,913.01
363,12,14.55348389,28.12845937,15.65712275,913.02
364,72.9,12.11096878,28.17847202,15.7071354,916.51
365,98.9,13.05429041,28.17847202,15.7071354,918.49
366,99.9,14.01065882,28.17847202,15.7071354,920.47
367,94.9,19.35647753,33.73837651,21.26703988,922.48
368,85.9,9.695337951,23.28869754,10.81736091,924.46
369,97.9,9.828770914,23.28869754,10.81736091,926.47
370,98.9,9.828770914,23.28869754,10.81736091,927.11
371,98.9,9.828770914,23.28869754,10.81736091,927.12
372,82,16.24640225,32.49675807,20.02542145,932.48
373,99.9,16.76708733,32.49675807,20.02542145,934.4
374,97.9,17.53249834,32.49675807,20.02542145,936.37
375,97.9,18.46929658,32.49675807,20.02542145,938.37